演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
1108,1001,黑中白,0,0,0,0,0,???,这个家伙真的没有坏掉吗？,1002,0,0
1108,1002,0,0,0,0,0,0,???,额，应该吧，我把人捞出来的时候还有呼吸来着。,1003,0,0
1108,1003,0,0,0,0,0,0,???,莎布，你信仰的那位不就是负责这方面的能力吗，你来看看。,1004,0,0
1108,1004,0,0,0,0,0,0,???,他早就醒了，现在眯着眼睛听我们说话呢。,1005,0,0
1108,1005,安全屋背景,奈亚拉,1,0,0,奈亚拉（调皮）,奈亚拉,不错嘛，看上去不傻。,1006,0,0
1108,1006,0,莎布,3,0,1,0,莎布,要不，我试试物理大治疗术？,1007,0,0
1108,1007,0,优格,2,0,0,0,优格,醒了就起来吧，我们谈谈。,2001,0,0
1108,2001,0,0,0,0,0,0,0,这是哪里？,1008,0,0
1108,2002,0,0,0,0,0,0,0,你们是谁？,1009,0,0
1108,3001,0,0,0,0,0,0,0,0,-1,0,0
1108,1008,0,0,0,0,0,0,奈亚拉,欢迎来到“安全屋”，欢迎新人！,1010,0,0
1108,1009,0,0,0,0,0,0,优格,我们和你一样，是异常空间的调查员。,1010,0,0
1108,1010,0,0,0,0,0,0,优格,我们都是友善古神的信仰者，和你算是同事。,1011,0,0
1108,1011,0,0,0,0,0,0,优格,你可以叫我优格，这两位是奈亚拉和莎布。,1012,0,0
1108,1012,0,0,0,0,0,0,优格,从某种意义上来说，我们和你遇到的东西一样。,1013,0,0
1108,1013,0,0,0,0,0,0,优格,唯一不同的是，我们信仰的那位和威胁人类生存的东西关系不好。,1014,0,0
1108,1014,0,0,0,0,0,0,优格,这里虽然叫做“安全屋”，但是你现在依旧处于危险中。,1015,0,0
1108,1015,0,0,0,0,0,0,优格,你在上次调查的公寓内受到了严重的污染。,1016,0,0
1108,1016,0,0,0,0,0,0,优格,需要借助我们信仰的那几位来反向抵消精神污染。,1017,0,0
1108,1017,0,0,0,0,0,0,优格,你可以理解为让我们给你“化疗”。,1018,0,0
1108,1018,0,0,0,0,0,0,优格,所以在这段时间你不能随便外出，防止你身上的污染扩散。,2004,0,0
1108,2004,0,0,0,0,0,0,0,我需要和上级通话。,1019,0,0
1108,2005,0,0,0,0,0,0,0,那个公寓怎么样了？,1022,0,0
1108,3002,0,0,0,0,0,0,0,0,-1,0,0
1108,1019,0,0,0,0,0,0,奈亚拉,没问题，这里可以和外界通话。,1020,0,0
1108,1020,0,0,0,0,0,0,0,在和上司通话后，确定这三人似乎没有问题。,1021,0,0
1108,1021,0,0,0,0,0,0,奈亚拉,怎么样，相信我们了吧。,1025,0,0
1108,1022,0,0,0,0,0,0,奈亚拉,当然是小优格清理掉了。,1023,0,0
1108,1023,0,0,0,0,0,0,奈亚拉,那里现在是正常的公寓了。,1024,0,0
1108,1024,0,0,0,0,0,0,奈亚拉,强调，我年龄不比你小。,1025,0,0
1108,1025,0,0,0,0,0,0,莎布,咳咳，要不先说正事。,1026,0,0
1108,1026,0,0,0,0,0,0,奈亚拉,哦哦哦，对对对，差点把正事忘了。,1027,0,0
1108,1027,0,0,0,0,0,0,优格,还是我来吧，奈亚拉你总是喜欢跑题。,1028,0,0
1108,1028,0,奈亚拉,0,莎布,1,奈亚拉,奈亚拉,呜呜呜，小优格你误会我。,1029,0,0
1108,1029,0,0,0,奈亚拉,0,0,优格,简单来说，我们信仰的那几位不会免费帮你清除污染。,1030,0,0
1108,1030,0,0,0,0,0,0,优格,祂们需要你前往一些怪谈空间找一些东西。,1031,0,0
1108,1031,0,0,0,0,0,0,优格,当然，进入空间的只是你的意识，而那三位会保护你的意识安全。,1032,0,0
1108,1032,0,0,0,0,0,0,优格,也就是说，你在异常空间中不用担心人生安全。,1033,0,0
1108,1033,0,0,0,0,0,0,优格,但是在空间内的精神力不要耗尽，要不然那三位也救不回来。,1034,0,0
1108,1034,0,0,0,0,0,0,调查员,祂们需要什么？,1035,0,0
1108,1035,0,0,0,0,0,0,优格,异常空间的最深处，祂们需要知道哪里到底有什么。,1036,0,0
1108,1036,0,0,0,0,0,0,优格,你可以先熟悉一下环境，然后就可以去最表层的空间试试。,-1,0,0
