演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
1302,1001,医院背景,0,0,0,0,0,0,陌生的天花板，这里是哪里？,1002,0,0
1302,1002,0,0,0,0,0,0,0,你四处看了看，似乎是一个医院。,1003,0,0
1302,1003,0,格赫罗斯,2,0,0,0,格赫罗斯,呦，你醒了，我还以为你的神经彻底被摧毁了，幸好救回来了。,1004,0,0
1302,1004,0,0,0,0,0,0,你,你是哪个格赫罗斯？,1005,0,0
1302,1005,0,0,0,0,0,0,格赫罗斯,反正不是和你打架的那个，那个已经湮灭了。,1006,0,0
1302,1006,0,0,0,0,0,0,你,奈亚拉他们呢？还有那几个神.....,1007,0,0
1302,1007,0,0,0,0,0,0,格赫罗斯,那三位的分身估计也湮灭了，至于你说的奈亚拉.....,1008,0,0
1302,1008,0,0,0,0,0,0,格赫罗斯,她们与其说是信徒，不如说是那三位的分身的寄宿体。,1009,0,0
1302,1009,0,0,0,0,0,0,格赫罗斯,她们的生命本质和那三位的分身一样，所以在那场冲击中根本活不下来。,1010,0,0
1302,1010,0,0,0,0,0,0,你,..........,2001,0,0
1302,2001,0,0,0,0,0,0,0,你为什么救我？,1011,0,0
1302,2002,0,0,0,0,0,0,0,怪谈空间怎么了？,1016,0,0
1302,2003,0,0,0,0,0,0,0,我的身体怎么了？,1023,0,0
1302,2004,0,0,0,0,0,0,0,没问题，只是....,1028,0,0
1302,3001,0,0,0,0,0,0,0,0,-1,0,0
1302,1011,0,0,0,0,0,0,格赫罗斯,因为你的身体很特别，可以说在遇到那三位的信徒之前就不是普通人了。,1012,0,0
1302,1012,0,0,0,0,0,0,格赫罗斯,你一个普通人，遇到怪谈空间直接污染的情况下竟然只是晕过去了？,1013,0,0
1302,1013,0,0,0,0,0,0,你,神通广大的你也不知道，我怎么会知道？,1014,0,0
1302,1014,0,格赫罗斯,0,0,0,格赫罗斯（皱眉）,格赫罗斯,我只是一个分身并不是全知全能，而且我的本体不会把注意力放在这种小事上，只是我好奇罢了。,1015,0,0
1302,1015,0,格赫罗斯,0,0,0,格赫罗斯,格赫罗斯,不过，无论怎么说，你现在都只是一个普通人了，而且估计再也不会遇到怪谈空间了。,1010,0,0
1302,1016,0,格赫罗斯,0,0,0,格赫罗斯（皱眉）,格赫罗斯,我的另一个分身把怪谈空间强行引爆了，希望能提前唤醒那位主宰的一缕意识体。,1017,0,0
1302,1017,0,0,0,0,0,0,格赫罗斯,但是失败了，只是让那位主宰的意识体稍微活跃了一下，而且还引发了一阵空间魔音。,1018,0,0
1302,1018,0,0,0,0,0,0,格赫罗斯,这种魔音污染对于位阶越高的神影响越大，对于普通人来说则完全没有影响。,1019,0,0
1302,1019,0,0,0,0,0,0,格赫罗斯,那三位估计就是那个时候湮灭的，可能是你保存的精神力比较高，所以幸存下来了。,1020,0,0
1302,1020,0,0,0,0,0,0,我,那为什么会影响我？,1021,0,0
1302,1021,0,0,0,0,0,0,格赫罗斯,你觉得你那个时候还是普通人吗？,1022,0,0
1302,1022,0,格赫罗斯,0,0,0,格赫罗斯,我,我觉得我是。,1010,0,0
1302,1023,0,0,0,0,0,0,格赫罗斯,你的身体.......怎么说呢，已经回到人类的状态了。,1024,0,0
1302,1024,0,0,0,0,0,0,格赫罗斯,空间魔音先是摧毁了你混沌属性，也就是你通过各种途径获得的力量。,1025,0,0
1302,1025,0,0,0,0,0,0,格赫罗斯,然后，可能是因为你的精神值比较好吧，空间魔音没有摧毁你属于人的部分。,1026,0,0
1302,1026,0,0,0,0,0,0,格赫罗斯,不过，它也彻底隔绝了你和混沌的联系，这辈子你再也接触不到混沌力量的事物了。,1027,0,0
1302,1027,0,0,0,0,0,0,格赫罗斯,也就是说，你一辈子只能当一个普通人，看样子你可以提前从调查员的工作退休了。,1010,0,0
1302,1028,0,0,0,0,0,0,你,所以，你的本体成功了吗？阿撒托斯会醒吗？,1029,0,0
1302,1029,0,0,0,0,0,0,格赫罗斯,说什么呢，哪有那么容易，银河系只有主宰的一缕意识体。,1030,0,0
1302,1030,0,0,0,0,0,0,格赫罗斯,而在整个宇宙，有无数主宰的意识体，要把他们中绝大部分的唤醒才能唤醒主宰。,1031,0,0
1302,1031,0,0,0,0,0,0,你,祂醒来，整个宇宙都会完蛋是吗？,1032,0,0
1302,1032,0,0,0,0,0,0,格赫罗斯,不能这么说，回归主宰是至高无上的荣耀@#￥%……%￥#,1033,0,0
1302,1033,月亮背景,0,0,格赫罗斯,0,0,0,格赫罗斯乱七八糟的说了一大堆，但是你没有心思听，你已经从棋子变成了没有任何影响的局中人。,1034,0,0
1302,1034,0,0,0,0,0,0,0,自己并尽全力的努力也改变不了世界的走向，怪谈空间依旧存在，阿撒托斯依旧可能苏醒。,1035,0,0
1302,1035,0,0,0,0,0,0,0,奈亚拉，莎布，优格，她们真的死了吗？不知道，但是你确实感受不到她们留给你的气息了。,1036,0,0
1302,1036,0,0,0,0,0,0,0,你看向窗外的月亮，从某种程度来说，月亮和你一样也是在这个大局中可有可无的装饰物。,1037,0,0
1302,1037,0,0,0,0,0,0,0,成为大海中的一叶孤舟后，未来这片大海会变成什么样子？只能将自己交给命运了。,-1,0,0
