事件id,文本id,文本类型（0-怪谈文本、1-对话文本）,文本内容,下一个文本id,立绘id,背景id,,,,,,,,,,,,,,,
20011,1,1,盛大的魔术剧院空无一人，一位魔术师穿着满是血污的礼服站在舞台的正中央，舞台上堆满了毛绒玩偶的残肢断臂。,2,,,,,,,,,,,,,,,,,
20011,2,1,他像是蜡像一样一动不动的站着，直到你靠近。,3,,,,,,,,,,,,,,,,,
20011,3,0,“亲爱的女士们先生们，盛大的魔术表演即将开始！”,4,,,,,,,,,,,,,,,,,
20011,4,1,魔术师的声音仿佛从空中传来，身体则一动不动。,5,,,,,,,,,,,,,,,,,
20011,5,1,欢快的音乐响了起来，空空荡荡的观众席掌声雷动。,6,,,,,,,,,,,,,,,,,
20011,6,1,“我们今天有幸邀请到一位特殊嘉宾，让我们以最热烈的欢迎请他上场。”,7,,,,,,,,,,,,,,,,,
20011,7,0,你似乎感觉到魔术师空洞的眼神看向了你，周围也有无数的视线转向你。,0,,,,,,,,,,,,,,,,,
20012,1,1,你鬼使神差的走上了舞台，魔术师蜡像突然动了起来。,2,,,,,,,,,,,,,,,,,
20012,2,1,在他的示意下你完成了数个魔术表演，剧场中多次传来一阵阵的掌声。,3,,,,,,,,,,,,,,,,,
20012,3,1,最后，几个用于表演的玩偶在空中炸裂，飘飘扬扬的棉絮撒了你一身。,4,,,,,,,,,,,,,,,,,
20012,4,1,剧场内外充满了欢乐的气息。,0,,,,,,,,,,,,,,,,,
20013,1,1,诡异，太诡异了.........,2,,,,,,,,,,,,,,,,,
20013,2,1,你残留的直觉告诉你这里可不是什么好地方。,3,,,,,,,,,,,,,,,,,
20013,3,1,当你越走越远，空空落落的剧场传来一阵嘘声。,4,,,,,,,,,,,,,,,,,
20013,4,1,魔术师蜡像一般的脸则一直对着你笑。,0,,,,,,,,,,,,,,,,,
20021,1,1,一块红布隔绝了观众和表演者，通过影子可以看出，一个表演者举着剑，似乎想要从上往下的塞进嘴里。,2,,,,,,,,,,,,,,,,,
