演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
2107,1001,山洞背景,0,0,0,0,0,0,前方出现了一段幻影，传来一段幽怨的哭声。,1002,0,0
2107,1002,0,C,2,0,0,0,C,呜呜....呜呜.....我们是不是出不去了。,1003,0,0
2107,1003,0,0,0,C,0,0,0,0,1004,0,0
2107,1004,0,B,2,0,0,0,B,别害怕，我们会出去的，这条溶洞以前很多人探索过，只要沿着暗河就能出去。,1005,0,0
2107,1005,0,0,0,B,0,0,0,0,1006,0,0
2107,1006,0,C,2,0,0,0,C,可是....可是我走不动了，而且我们没吃的了........,1007,0,0
2107,1007,0,0,0,0,0,0,C,你是不是早就知道我们走不出去了.......,1008,0,0
2107,1008,0,0,0,C,0,0,0,0,1009,0,0
2107,1009,0,B,2,0,1,0,B,对！对对！我就是知道了，我从第三天就知道了！然后呢，在原地等死吗？！,1010,0,0
2107,1010,0,0,0,0,0,0,B,这个山洞根本没有那么大，我们就是迷路了，如果你再拖我的后退，我不会再管你！,1011,0,0
2107,1011,0,0,0,B,0,0,0,0,1012,0,0
2107,1012,0,0,0,C,0,0,0,两人沉默，B气愤的抓起一块石头砸在墙上，这个时候两人注意到墙壁上的壁画。,1013,0,0
2107,1013,0,0,0,0,0,0,0,与其说是壁画，不如说是古老的岩画，原始人围绕着一只巨大的老鼠跳舞，老鼠在啃食着什么。,1014,0,0
2107,1014,0,C,2,0,0,0,C,那个，你有没有听到老鼠的叫声？,1015,0,0
2107,1015,0,0,0,C,0,0,0,空气冷了下来，B脸色煞白，他听到了。,-1,0,0
