演出id,IF,count,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string),赋值,GOTO
2207,0,0,1001,城镇背景,0,0,0,0,0,0,前方一群人聚集在一起高谈阔论，看起来非常热闹。,1002,吵闹人群,吵闹人群,0,0
2207,0,0,1002,0,无视派居民丙,1,0,0,0,无视派居民丙,芜湖，好咯，这下人人平等了！,1003,0,0,0,0
2207,0,0,1003,0,无视派居民丁,3,0,0,0,无视派居民丁,加速加速！冲刺冲刺！,2001,0,0,0,0
2207,0,0,2001,0,0,0,0,0,0,0,你们在讨论什么？,1004,0,0,0,0
2207,0,0,3001,0,0,0,0,0,0,0,0,-1,0,0,0,0
2207,0,0,1004,0,0,0,0,0,0,无视派居民丙,我们在庆祝好日子终于来喽！城市地下的那个家伙终于醒了。,2002,0,0,0,0
2207,0,0,2002,0,0,0,0,0,0,0,祂苏醒不是灾难吗？,1005,0,0,0,0
2207,0,0,3002,0,0,0,0,0,0,0,0,-1,0,0,0,0
2207,0,0,1005,0,0,0,0,0,0,无视派居民丁,怎么能算灾难呢？灾难一来那些贵族老爷和我们这些屁民一样完蛋，简直太公平了。,1006,0,0,0,0
2207,0,0,1006,0,0,0,0,0,0,无视派居民丁,我早就看不起那些比我们过得好的家伙了，凭什么他们就过的比我们好？,1007,0,0,0,0
2207,0,0,1007,0,0,0,0,0,0,无视派居民丁,双输好过单输，我才不在乎城市怎么样，我只知道我现在过的不好。,1008,0,0,0,0
2207,0,0,1008,0,0,0,0,0,0,无视派居民丁,那些愚蠢的保城派和信仰派还想让我们付出资源，呵呵。,1009,0,0,0,0
2207,0,0,1009,0,0,0,0,0,0,无视派居民丙,我们的日子本来过的就不好，结果保卫的是那群老爷们的生活，傻子才和他们一起。,1010,0,0,0,0
2207,0,0,1010,0,0,0,0,0,0,无视派居民丙,到时候没有被地下那个家伙吓死，为了封印古神把自己饿死了。,1011,0,0,0,0
2207,0,0,1011,0,0,0,0,0,0,无视派居民丙,说不定地下那个家伙就是敲钟人的谎言，根本不存在什么古神，他们就是想骗钱！,1012,0,0,0,0
2207,0,0,1012,0,0,0,无视派居民丙,0,0,0,0,1013,0,0,0,0
2207,0,0,1013,0,0,0,无视派居民丁,0,0,0,众人继续兴高采烈的讨论城市如何毁灭，逐渐没有继续和你讨论的兴趣。,-1,0,0,0,0
