演出id,指令代号,显示背景(string),人物出现,"人物立绘位置(默认0,左1,中2,右3)",人物消失,人物立绘效果(bool),立绘差分,对话者姓名,对话(选项)文本,特殊指令,音频播放(string),音频停止(string)
2202,1001,城镇背景,0,0,0,0,0,0,前方一群人聚集在一起高谈阔论，看起来非常热闹。,1002,吵闹人群,吵闹人群
2202,1002,0,保城派居民甲,2,0,0,0,保城派居民甲,我们绝对不能放任城市陷落，从现在开始武装起来，和怪物同归于尽！,1003,0,0
2202,1003,0,0,0,0,0,0,保城派居民甲,同胞们，我们要让那群胆小鬼知道，就算是神也会流血，勇敢尚武是祖先的优良传统！,1004,0,0
2202,1004,0,0,0,0,0,0,保城派居民甲,如今却有些胆小鬼想要出卖城邦，未战先怯，想要举手投降，我们绝不答应！,1005,0,0
2202,1005,0,0,0,保城派居民甲,0,0,0,0,1006,0,0
2202,1006,0,保城派居民乙,2,0,0,0,保城派居民乙,说的对，我们的祖先打败过那个怪物，那么我们也能做到！,1007,0,0
2202,1007,0,0,0,保城派居民乙,0,0,0,0,2001,0,0
2202,2001,0,0,0,0,0,0,0,你们在讨论什么？,1008,0,0
2202,3001,0,0,0,0,0,0,0,0,-1,0,0
2202,1008,0,保城派居民甲,2,0,0,0,保城派居民甲,我们在准备动员居民，和怪物决一死战。,1009,0,0
2202,1009,0,0,0,0,0,0,保城派居民甲,你是外地来的吧，你能帮我们一臂之力吗？,2002,0,0
2202,2002,0,0,0,0,0,0,0,你们打算怎么做？,1010,0,0
2202,3002,0,0,0,0,0,0,0,0,-1,0,0
2202,1010,0,保城派居民甲,1,0,1,0,保城派居民甲,我们的城邦是附近最强大的城邦，有最锋利的矛和最坚固的盾，还有先进的火枪。,1011,0,0
2202,1011,0,保城派居民乙,3,0,1,0,保城派居民乙,我们要带上最好的武器，召集最精壮的年轻人，到地下那个封印怪物的地方......,1012,0,0
2202,1012,0,0,0,0,0,0,保城派居民乙,像我们的祖先一样击败他，然后烧死他！夺回我们的土地！,1013,0,0
2202,1013,0,0,0,0,0,0,众居民,烧死他！烧死他..........,1014,0,0
2202,1014,0,0,0,0,0,0,保城派居民甲,在此之前，我们必须需要让那些投降派认清局势，让他们为他们的行为做出回答！,1015,0,0
2202,1015,0,0,0,0,0,0,众居民,做出回答！做出回答！,1016,0,0
2202,1016,0,0,0,保城派居民甲,0,0,0,0,1017,0,0
2202,1017,0,0,0,保城派居民乙,0,0,0,众人兴致昂扬的一起喊着口号，逐渐没有继续和你讨论的兴趣。,-1,0,0
