道具名称（暂时，方便对应）,道具id,道具分类,"是否为获得时立刻生效（被动生效、直到死亡）
0-否；1-是",可使用次数,可使用场景,"死亡复活是否重置 
0-不重置；1-重置",是否可快捷装备（0-不可 1-可）,是否可重复获得（0-不可 1-可）,可堆叠上限,"使用后是否永久生效直到死亡时重置判断
0-否；1-是","使用后生效时限(s)
（主动生效）",道具使用文案描述,道具本身文案描述,,,,,,
魔术师,601,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,在鲜花簇拥的舞台上，一位自信满满的魔术师正在准备动用桌面上的所有元素，施展魔力链接上天和大地，向世人展现异常惊天动地的魔法。但是他的魔法是改变世界的神迹，还是召唤深空注释的小把戏，没人知道。,,,,,,
女祭司,602,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一个表情严肃的女子坐在两根神柱中间，手上拿着智慧之书，脚边一轮新月，用一双洞悉一切的眼睛和你对视，靠着冷静沉着的思考与强大的洞察力应对世界。然而她从来不翻阅那本智慧之书，而是在看守这本书，以防止某些禁忌知识流入人间。,,,,,,
女皇,603,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位身着华丽的皇后，头戴星星王冠端坐在包坐上，身后是茂密的森林和河流，脚下是金色的麦田。她就像大地母亲一样呵护着这片土地，掌控着丰饶，美丽，爱，性，让人想起了令人尊敬的森之黑山羊。,,,,,,
皇帝,604,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位意气风发的皇帝，头戴镶满宝石的王冠，身着红袍，左手拖着圣球，右手拿着古埃及十字塔，端坐在群山前的宝座上，即便身居高位，但是他依旧穿着盔甲，像是时刻准备着对抗什么。,,,,,,
教皇,605,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一座教堂中央，一位身穿红袍，头戴三层皇冠，表情庄严肃穆的教皇端坐其中，他左手拿着一把三重权杖，右手食指和中指交叉指向天。为下方跪着的信徒传达天意，用自己的言论引导人走向“正统”。但是没人知道他所谓的正统是什么东西，或许就来自天上。,,,,,,
恋人,606,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,伊甸园内，拉斐尔天使张开双臂和翅膀祝福地上的一对男女，男女两人赤身裸体相互对望，女人背后是一颗缠绕着巨蟒的大树，而男人的背后则是一颗燃烧的大树——恋人之间真的就那么的赤诚相待吗？,,,,,,
战车,607,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位头戴八芒星星冠，身穿盔甲的勇士，驾驶者一辆由两只人面狮身兽拉着的豪华战车离开了他的城堡，意志坚定的准备朝着前方的目标前进。然而他不知道的是两个人面狮身兽并没有起身，那么是谁在拉着他的战车前进呢？,,,,,,
力量,608,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位神情从容的女子正在抚摸一头狮子，她头上的无限符号给了她无穷的力量，使他能靠着内在的只会和力量降服野兽，在这场以柔克刚的博弈之中，她从容而淡定。,,,,,,
隐士,609,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位身穿黑色斗篷和帽子的老人站在冰天雪地的山巅上，手里提着一盏六芒星灯，好像在低头沉思，看似微弱的光芒在渺无人烟的黑夜中显得孤独无助。但是对老人而言，这才是引导自己找到真正自我，不会在黑暗中陷入疯狂的理智灯塔。,,,,,,
命运之轮,610,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一个巨大的轮盘不停地转动，代表四元素的四只动物位于四角，胡狼托起车轮向上，蛇随着轮盘沉沦，狮身人面兽端坐在轮盘的顶端却保持平衡。命运就像是转动的轮盘一样不可预料，有人起，就有人落，而最有智慧的人利于圆盘之端，不受圆盘影响。,,,,,,
正义,611,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位身穿红袍，头戴皇冠的正义使者端坐在石凳上，背后紧贴红紫色帷幕，左手的天平象征着绝对的公平，右手端正的拿着裁决之剑，依靠自己的头脑洞察一切，保证审判的公平。,,,,,,
倒吊人,612,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,一位少年头朝下被吊在T字形的绞刑架上，头的周围有一圈光环。看起来这个姿势无法脱身，十分痛苦，然而他却一脸安详、平静，因为他明白此时糟糕的境遇也不过是一种磨练，厄运总会过去。又或许，他通过这种方式看到了什么我们看不到的东西。,,,,,,
死神,613,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,死神手执旗帜，身穿铠甲骑在白马上俯视着地上的人们，他所到之处“死亡”便跟随而来，远处的朝阳似乎正在预示只有旧的事物摧毁之后，新生命才会诞生，死神虽然带来了死亡，却也予了重建的希望。,,,,,,
节制,614,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,大天使麦可身穿白袍，张开长红翅膀悬浮在陆地与水池中，他正双手持两个金杯，把左手杯中的水倒入右手杯中，由于他的专注和投诉，此时他的头部正在散发着光芒。,,,,,,
恶魔,615,6,1,0,000,0,0,0,1,0,0,获得后精神值+5,羊头恶魔蹲坐在全黑的背景中，左手向下拿着火把，右手摆出黑魔法的姿势，脚下是被锁链禁锢的亚当夏娃，恶魔正张大嘴巴发出深沉的笑声，引诱着这对男女跨越道德的藩篙，被污染成堕落的恶魔仆从。,,,,,,
