道具名称（暂时，方便对应）,道具id,道具分类,"是否为获得时立刻生效（被动生效、直到死亡）
0-否；1-是",可使用次数,可使用场景,"死亡复活是否重置 
0-不重置；1-重置",是否可快捷装备（0-不可 1-可）,是否可重复获得（0-不可 1-可）,可堆叠上限,"使用后是否永久生效直到死亡时重置判断
0-否；1-是","使用后生效时限(s)
（主动生效）",道具使用文案描述,道具本身文案描述,获取途径备注（不用读取上去）
灵魂余烬,101,1,0,1,001,0,1,1,99,0,4,使用后灯光值立刻+60，短时间内不会衰减,灵魂于黑暗中燃尽，希望自灯火中重生。,
封存的灯火,102,1,1,0,000,0,0,0,1,0,0,获得后，后续每次获得灯光值时额外获得10灯光值及其上限。,与时间共生，永不熄灭。,
几何拳套,103,1,0,1,001,0,1,1,99,0,0,使用后靠近特殊墙壁可砸碎,不属于这个时代的产物，能轻松破除一切障碍。,
虚空之钥,104,1,0,2,001,1,1,0,1,1,0,使用后有50%概率直接到达该层迷宫终点，也有50%概率回到起点。,优格的赠礼，链接现实与虚空的钥匙。,
发光的引路石,105,1,1,1,001,0,1,1,999,1,0,"在迷宫内使用时，原地放置一个会发光的石头照明周围3X3的格子。
引路石会永久保留在地图中。","随处可见的碎石，唯暗处浮起卑微荧光。
凡人终有一死，然总有愚者，愿以魂灵为烛泪，浇灌此石。",只会在死亡后总结里投放
生命交响曲,301,3,1,0,000,1,0,0,1,0,0,获得后灯光值+60,纱布的赠礼，生命的乐章永不停息。,
死亡狂想曲,302,3,0,1,001,0,1,1,99,0,10,使用后在迷宫内移动速度短时间翻倍。,死亡的恐惧，总能激发【生命】的潜能。,
混沌血清,303,3,0,1,111,0,1,1,99,0,0,使用后当前精神值+8,精神值太低可不是件好事。,
生息果实,401,4,0,1,111,0,1,1,99,1,0,使用后生命+20，上限+20,无根之树的果实之一，万一就差这一点生命呢。,
极乐果实,402,4,0,1,111,0,0,1,99,1,0,使用后防御+3，上限+3, 无根之树的果实之一，万一就差这一点防御呢。,
